simulated t4;measured t4
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.1
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
6.0;5.6
