SCENARIO 0

date;t1;t2;t3;t4;t5;t6;t7

2023-12-16 15:30;6.6;5.9;7.1;6;4.8;;8.8
2023-12-16 15:35;6.6;5.9;7.1;6;4.3;;8.8
2023-12-16 15:40;6.6;5.9;7.1;6;4.8;;8.8
2023-12-16 15:45;6.6;5.9;7.1;6;4.3;;8.8
2023-12-16 15:50;6.6;5.9;7.1;6;3.7;;8.8
2023-12-16 15:55;6.6;5.9;7.1;6;3.7;;8.8
2023-12-16 16:00;6.6;5.9;7.1;6;3.2;;8.8
2023-12-16 16:05;6.6;5.9;7.1;6;2.7;;8.8
2023-12-16 16:10;6.6;5.9;7.1;6;2.2;;8.8
2023-12-16 16:15;6.6;5.9;7.1;6;1.7;;8.8
2023-12-16 16:20;6.6;5.9;7.1;6;1.2;;8.8
2023-12-16 16:25;6.6;5.9;7.1;6;0.8;;8.8
2023-12-16 16:30;6.6;5.9;7.1;6;1.2;;8.8
2023-12-16 16:35;6.6;5.9;7.1;6;0.8;;8.8
2023-12-16 16:40;6.6;5.9;7.1;6;0.8;;8.8
2023-12-16 16:45;6.6;5.9;7.1;6;0.3;;8.8
2023-12-16 16:50;6.6;5.9;7.1;6;-0.2;;8.8
2023-12-16 16:55;6.6;5.9;7.1;6;-0.2;;8.8
2023-12-16 17:00;6.6;5.9;7.1;6;-0.6;;8.8
2023-12-16 17:05;6.6;5.9;7.1;6;-0.2;;8.8
2023-12-16 17:10;6.6;5.9;7.1;6;-0.6;;8.8
2023-12-16 17:15;6.6;5.9;7.1;6;-1.2;;8.8
2023-12-16 17:20;6.6;6.4;7.1;6;-1.7;;8.8
2023-12-16 17:25;6.6;6.4;7.1;6;-1.2;;8.8
2023-12-16 17:30;6.6;6.4;7.1;6;-1.7;;8.8
2023-12-16 17:35;6.6;6.4;7.1;6;-1.2;;8.8
2023-12-16 17:40;6.6;6.4;7.1;6;-0.6;;8.8
2023-12-16 17:45;6.6;6.4;7.1;6;-1.2;;8.8
2023-12-16 17:50;6.6;6.4;7.1;6;-1.7;;8.8
2023-12-16 17:55;6.6;6.4;7.1;6;-2.2;;8.8
2023-12-16 18:00;6.6;6.4;7.1;6;-2.7;;8.8
2023-12-16 18:05;6.6;6.4;7.1;6;-2.2;;8.8
2023-12-16 18:10;6.6;6.4;7.1;6;-2.2;;8.8
2023-12-16 18:15;6.6;6.4;7.1;6;-2.2;;8.8
2023-12-16 18:20;6.6;6.4;7.1;6;-2.2;;8.8
2023-12-16 18:25;6.6;6.4;7.1;6;-2.7;;8.8
2023-12-16 18:30;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 18:35;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 18:40;6.6;6.4;7.1;6;-2.7;;8.8
2023-12-16 18:45;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 18:50;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 18:55;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 19:00;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 19:05;6.6;6.4;7.1;6;-2.7;;8.8
2023-12-16 19:10;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 19:15;6.6;6.4;7.1;6;-3.7;;8.8
2023-12-16 19:20;6.6;6.4;7.1;6;-3.7;;8.8
2023-12-16 19:25;6.6;6.4;7.1;6;-4.1;;8.8
2023-12-16 19:30;6.6;6.4;7.1;6;-4.1;;8.8
2023-12-16 19:35;6.6;6.4;7.1;6;-3.7;;8.8
2023-12-16 19:40;6.6;6.4;7.1;6;-3.2;;8.8
2023-12-16 19:45;6.6;6.4;7.1;6;-3.7;;8.8
2023-12-16 19:50;6.6;6.4;7.1;6;-4.1;;8.8
2023-12-16 19:55;6.6;6.4;7.1;6;-4.1;;8.8
2023-12-16 20:00;6.6;6.4;7.1;6;-3.7;;8.8
2023-12-16 20:05;6.6;6.4;7.1;6;-4.1;;8.8
2023-12-16 20:10;6.6;6.4;7.1;6;-4.6;;8.8
2023-12-16 20:15;6.6;6.4;7.1;6;-4.6;;8.8
2023-12-16 20:20;6.6;6.4;7.1;6;-5.1;;8.8
